CustomerID,Segment,AgeGroup,LoyaltyTier
50001,Consumer,55-64,Bronze
50002,SMB,35-44,Gold
50003,Consumer,55-64,Bronze
50004,Consumer,65+,Bronze
50005,SMB,25-34,Bronze
50006,Consumer,45-54,Silver
50007,SMB,18-24,Bronze
50008,SMB,45-54,Gold
50009,Consumer,18-24,Bronze
50010,SMB,45-54,Silver
50011,Consumer,18-24,Silver
50012,Consumer,35-44,Bronze
50013,SMB,55-64,Bronze
50014,Consumer,25-34,Bronze
50015,Consumer,65+,Bronze
50016,Consumer,35-44,Bronze
50017,Consumer,25-34,Bronze
50018,Consumer,65+,Bronze
50019,Consumer,25-34,Bronze
50020,Consumer,45-54,Bronze
50021,Consumer,65+,Bronze
50022,Consumer,65+,Gold
50023,Consumer,35-44,Bronze
50024,Corporate,25-34,Bronze
50025,Consumer,35-44,Silver
50026,Consumer,25-34,Silver
50027,Consumer,25-34,Gold
50028,Consumer,25-34,Bronze
50029,Corporate,25-34,Bronze
50030,SMB,18-24,Silver
50031,Consumer,55-64,Silver
50032,Consumer,18-24,Silver
50033,SMB,45-54,Gold
50034,Consumer,35-44,Gold
50035,Consumer,45-54,Bronze
50036,Consumer,45-54,Bronze
50037,SMB,35-44,Gold
50038,Consumer,55-64,Bronze
50039,Consumer,45-54,Bronze
50040,Consumer,55-64,Silver
50041,Consumer,45-54,Bronze
50042,SMB,55-64,Silver
50043,SMB,55-64,Gold
50044,Consumer,45-54,Bronze
50045,SMB,25-34,Bronze
50046,Consumer,35-44,Bronze
50047,Consumer,18-24,Bronze
50048,Consumer,45-54,Bronze
50049,Consumer,45-54,Silver
50050,Consumer,55-64,Bronze
50051,SMB,18-24,Bronze
50052,SMB,25-34,Silver
50053,Consumer,45-54,Silver
50054,SMB,45-54,Silver
50055,SMB,18-24,Bronze
50056,Consumer,18-24,Bronze
50057,Consumer,25-34,Silver
50058,Consumer,25-34,Bronze
50059,Consumer,18-24,Silver
50060,Consumer,18-24,Bronze
50061,Consumer,25-34,Gold
50062,Consumer,18-24,Bronze
50063,Consumer,25-34,Silver
50064,Consumer,18-24,Silver
50065,Consumer,35-44,Gold
50066,Consumer,55-64,Bronze
50067,Consumer,45-54,Gold
50068,Corporate,45-54,Silver
50069,Consumer,35-44,Silver
50070,Consumer,25-34,Bronze
50071,Consumer,18-24,Gold
50072,Consumer,25-34,Bronze
50073,Consumer,65+,Gold
50074,SMB,55-64,Silver
50075,SMB,45-54,Silver
50076,Consumer,45-54,Bronze
50077,Consumer,55-64,Silver
50078,Consumer,55-64,Bronze
50079,SMB,25-34,Silver
50080,Consumer,55-64,Silver
50081,Corporate,45-54,Bronze
50082,Consumer,25-34,Silver
50083,Consumer,25-34,Silver
50084,SMB,25-34,Bronze
50085,SMB,35-44,Silver
50086,Consumer,65+,Silver
50087,Consumer,55-64,Bronze
50088,Consumer,25-34,Silver
50089,Consumer,18-24,Silver
50090,Consumer,25-34,Gold
50091,Consumer,25-34,Silver
50092,Consumer,25-34,Bronze
50093,Consumer,45-54,Gold
