ReturnLineID,ReturnDate,ProductID,StoreID,QuantityReturned,ReturnAmount,ReturnCOGS,ProfitImpact,SaleLineID
1,2023-09-20,10033,2009,1,743.54,573.48,-170.06,7
2,2024-11-23,10029,2014,2,29.41,15.42,-13.99,9
3,2023-01-27,10033,2015,1,807.43,573.48,-233.95,38
4,2024-04-05,10023,2004,2,2255.25,2068.5,-186.75,44
5,2024-12-31,10018,2010,1,58.56,22.58,-35.98,45
6,2023-11-13,10024,2007,3,3209.07,2688.99,-520.08,52
7,2024-10-06,10004,2016,1,122.0,82.16,-39.84,58
8,2024-12-16,10038,2018,1,355.4,224.2,-131.2,86
9,2024-05-14,10039,2001,3,1053.8,766.98,-286.82,89
10,2024-06-17,10029,2011,3,41.71,23.13,-18.58,91
11,2023-11-04,10039,2001,2,758.02,511.32,-246.7,95
12,2024-09-21,10023,2008,1,1307.5,1034.25,-273.25,143
13,2023-10-08,10038,2013,1,329.03,224.2,-104.83,145
14,2024-04-29,10013,2012,3,125.85,35.43,-90.42,168
15,2023-11-30,10026,2019,1,31.47,13.1,-18.37,184
16,2024-03-14,10002,2006,1,18.58,7.36,-11.22,197
17,2023-03-10,10035,2020,1,966.94,668.36,-298.58,206
18,2024-05-26,10032,2007,1,106.9,95.98,-10.92,240
19,2023-03-25,10015,2005,3,1312.96,879.3,-433.66,259
20,2024-11-26,10022,2016,1,13.89,6.25,-7.64,262
21,2024-03-29,10027,2016,1,37.21,11.18,-26.03,280
22,2023-01-17,10022,2013,1,13.7,6.25,-7.45,284
23,2023-11-21,10021,2019,3,373.82,357.27,-16.55,292
24,2023-02-27,10027,2002,1,38.75,11.18,-27.57,301
25,2024-11-13,10003,2013,2,61.1,17.58,-43.52,308
26,2023-02-25,10005,2008,1,343.72,236.17,-107.55,368
27,2023-11-12,10039,2020,3,903.54,766.98,-136.56,404
28,2024-09-18,10024,2014,1,1285.92,896.33,-389.59,414
29,2024-02-16,10033,2002,2,1695.04,1146.96,-548.08,417
